quantile,value,horizon,scenario_id,n_bootstrapping
0.1,640.0869888417575,14,D-2024-08-01,0
0.15,895.4673257614388,14,D-2024-08-01,0
0.2,1235.9884811196232,14,D-2024-08-01,0
0.25,1572.0846951177796,14,D-2024-08-01,0
0.3,1743.3256386951289,14,D-2024-08-01,0
0.35,1964.0429887235618,14,D-2024-08-01,0
0.4,2211.6328815291017,14,D-2024-08-01,0
0.45,2420.3683889681965,14,D-2024-08-01,0
0.5,2887.8256544951296,14,D-2024-08-01,0
0.55,4715.751589333071,14,D-2024-08-01,0
0.6,6575.455787701189,14,D-2024-08-01,0
0.65,7166.311460096821,14,D-2024-08-01,0
0.7,7924.489874018923,14,D-2024-08-01,0
0.75,12688.4,14,D-2024-08-01,0
0.8,16252.487150451387,14,D-2024-08-01,0
0.85,16856.750098697197,14,D-2024-08-01,0
0.9,17649.975128988575,14,D-2024-08-01,0
0.95,23008.85999999997,14,D-2024-08-01,0
0.975,34006.67000000001,14,D-2024-08-01,0
0.99,40501.53199999999,14,D-2024-08-01,0
0.01,304.060359532552,15,D-2024-08-01,0
0.025,519.6437308281864,15,D-2024-08-01,0
0.05,746.9366354434217,15,D-2024-08-01,0
0.1,1078.8185233319234,15,D-2024-08-01,0
0.15,1533.8847575343493,15,D-2024-08-01,0
0.2,1951.6010796609191,15,D-2024-08-01,0
0.25,2224.493381012457,15,D-2024-08-01,0
0.3,2626.269902219893,15,D-2024-08-01,0
0.35,3001.055735151194,15,D-2024-08-01,0
0.4,3327.527581344608,15,D-2024-08-01,0
0.45,3967.868393136147,15,D-2024-08-01,0
0.5,5305.103581079109,15,D-2024-08-01,0
0.55,7029.707703788504,15,D-2024-08-01,0
0.6,7908.067185333092,15,D-2024-08-01,0
0.65,8504.922349715733,15,D-2024-08-01,0
0.7,9257.515451074327,15,D-2024-08-01,0
0.75,13386.505327008019,15,D-2024-08-01,0
0.8,20236.319871620126,15,D-2024-08-01,0
0.85,21113.684446477582,15,D-2024-08-01,0
0.9,21987.091688180935,15,D-2024-08-01,0
0.95,26737.879999999983,15,D-2024-08-01,0
0.975,33894.97,15,D-2024-08-01,0
0.99,44204.503999999986,15,D-2024-08-01,0
0.01,524.8938189617799,16,D-2024-08-01,0
0.025,867.7163405715992,16,D-2024-08-01,0
0.05,1149.9447388822327,16,D-2024-08-01,0
0.1,1721.658329113924,16,D-2024-08-01,0
0.15,2198.159633726091,16,D-2024-08-01,0
0.2,2564.000267335928,16,D-2024-08-01,0
0.25,3109.91353142451,16,D-2024-08-01,0
0.3,3785.164774940262,16,D-2024-08-01,0
0.35,4500.918707527973,16,D-2024-08-01,0
0.4,5452.5500135809925,16,D-2024-08-01,0
0.45,6558.7616823709905,16,D-2024-08-01,0
0.5,7876.0751821330305,16,D-2024-08-01,0
0.55,8804.075390994341,16,D-2024-08-01,0
0.6,9387.612279018067,16,D-2024-08-01,0
0.65,10156.595945742532,16,D-2024-08-01,0
0.7,11236.83415561614,16,D-2024-08-01,0
0.75,15789.94625175236,16,D-2024-08-01,0
0.8,23130.55609745046,16,D-2024-08-01,0
0.85,25007.28658303564,16,D-2024-08-01,0
0.9,25782.62826999322,16,D-2024-08-01,0
0.95,28043.040481688724,16,D-2024-08-01,0
0.975,37181.5,16,D-2024-08-01,0
0.99,47465.43999999998,16,D-2024-08-01,0
0.01,787.1,17,D-2024-08-01,0
0.025,1200.632213015548,17,D-2024-08-01,0
0.05,1549.36802598633,17,D-2024-08-01,0
0.1,2250.72925187678,17,D-2024-08-01,0
0.15,2765.714041672352,17,D-2024-08-01,0
0.2,3246.3162821782003,17,D-2024-08-01,0
